date,BTC,ETH,XRP,BNB,SOL,ADA,MATIC,SAND,MANA,ALGO
2022-04-01,61916.74000000,4621.84000000,1.10670000,599.20000000,179.87000000,1.56100000,2.26800000,4.71020000,2.64800000,0.93910000
2022-04-02,61235.33000000,4602.95000000,1.10110000,584.30000000,177.01000000,1.54200000,2.20900000,4.61840000,2.64020000,0.90680000
2022-04-03,62091.06000000,4713.16000000,1.12700000,601.60000000,183.16000000,1.58600000,2.26100000,4.72440000,2.72530000,0.93530000
2022-04-04,61860.52000000,4672.64000000,1.09700000,594.90000000,175.66000000,1.61000000,2.18800000,4.60960000,2.65810000,0.88270000
2022-04-05,60180.06000000,4501.26000000,1.07960000,588.30000000,167.76000000,1.54800000,2.10600000,4.41320000,2.56160000,0.83450000
2022-04-06,57634.70000000,4229.56000000,1.01380000,560.80000000,150.37000000,1.40800000,1.94900000,4.00000000,2.32920000,0.76610000
2022-04-07,58184.81000000,4323.87000000,1.05440000,583.90000000,158.76000000,1.45800000,2.02400000,4.14590000,2.41390000,0.79930000
2022-04-08,56885.30000000,4297.15000000,1.01660000,567.60000000,147.80000000,1.37900000,1.93100000,3.91270000,2.26740000,0.75950000
2022-04-09,57470.70000000,4379.88000000,1.02410000,573.80000000,151.70000000,1.40700000,1.96800000,4.02850000,2.33970000,0.78800000
2022-04-10,56772.41000000,4314.17000000,1.01330000,562.40000000,149.34000000,1.38000000,1.92100000,3.90380000,2.26510000,0.75030000
2022-04-11,53409.08000000,4027.38000000,0.93890000,533.00000000,134.52000000,1.24200000,1.80400000,3.61150000,2.05680000,0.69360000
2022-04-12,53772.93000000,4063.35000000,0.95920000,554.60000000,138.56000000,1.28200000,1.86300000,3.73610000,2.15300000,0.72580000
2022-04-13,55309.73000000,4187.86000000,0.97170000,568.90000000,141.27000000,1.31000000,1.90600000,3.85490000,2.20080000,0.74610000
2022-04-14,54015.59000000,4086.73000000,0.98230000,560.70000000,136.16000000,1.26000000,1.85600000,3.75400000,2.11970000,0.72670000
2022-04-15,54999.74000000,4123.05000000,1.06410000,565.80000000,137.36000000,1.29700000,1.89500000,3.80000000,2.14440000,0.73930000
2022-04-16,54683.28000000,4143.53000000,1.05820000,564.90000000,138.53000000,1.28700000,1.88100000,3.83290000,2.15230000,0.74320000
2022-04-17,53768.44000000,4049.15000000,1.01810000,549.00000000,136.20000000,1.24000000,1.81300000,3.63130000,2.05270000,0.71050000
2022-04-18,55486.71000000,4155.18000000,1.04500000,566.50000000,139.45000000,1.27500000,1.93300000,3.73920000,2.08670000,0.73650000
2022-04-19,56153.92000000,4197.12000000,1.04890000,571.00000000,147.25000000,1.29200000,1.93200000,3.96300000,2.16450000,0.75890000
2022-04-20,55606.11000000,4136.20000000,1.01050000,562.60000000,141.85000000,1.26100000,1.90400000,3.84080000,2.10500000,0.74150000
2022-04-21,55141.94000000,4065.15000000,0.99810000,551.80000000,138.83000000,1.24000000,1.87800000,3.74190000,2.02560000,0.71840000
2022-04-22,54920.03000000,4097.74000000,0.99180000,563.60000000,139.43000000,1.25200000,1.93200000,3.79240000,2.03750000,0.71910000
2022-04-23,54534.07000000,4054.68000000,0.97580000,554.80000000,139.01000000,1.22700000,1.88300000,3.73640000,2.00940000,0.70740000
2022-04-24,54589.83000000,4042.56000000,0.96630000,551.90000000,137.55000000,1.22600000,1.85700000,3.82740000,2.00120000,0.70110000
2022-04-25,56219.24000000,4175.76000000,0.96330000,561.90000000,140.41000000,1.24800000,1.88000000,3.77810000,1.98040000,0.70300000
2022-04-26,53437.30000000,3939.47000000,0.90040000,540.70000000,134.15000000,1.15700000,1.74800000,3.47800000,1.80760000,0.65600000
2022-04-27,55069.56000000,4055.61000000,0.91510000,549.00000000,138.19000000,1.17900000,1.76500000,3.55840000,1.84360000,0.67120000
2022-04-28,55894.82000000,4133.39000000,0.90510000,573.20000000,138.04000000,1.18620000,1.74400000,3.52650000,1.80490000,0.69820000
2022-04-29,54712.81000000,3996.32000000,0.86790000,557.30000000,133.85000000,1.14140000,1.61900000,3.27120000,1.66840000,0.63810000
2022-04-30,53519.67000000,3882.34000000,0.83120000,536.60000000,120.50000000,1.07560000,1.47000000,2.82620000,1.43270000,0.56730000
2022-05-01,54369.44000000,3992.64000000,0.85730000,551.00000000,126.81000000,1.11600000,1.55200000,3.03710000,1.52650000,0.60160000
2022-05-02,54630.49000000,4050.50000000,0.87120000,552.40000000,124.32000000,1.10680000,1.52700000,3.04140000,1.50680000,0.61610000
2022-05-03,53108.63000000,3914.86000000,0.85070000,540.10000000,120.91000000,1.08500000,1.51400000,2.97690000,1.47390000,0.67100000
2022-05-04,54729.66000000,4056.19000000,0.89070000,554.60000000,128.00000000,1.23800000,1.61400000,3.36020000,1.66220000,0.71570000
2022-05-05,51425.48000000,3865.54000000,0.84220000,532.70000000,119.06000000,1.11100000,1.49800000,2.99000000,1.46450000,0.63400000
2022-05-06,50875.69000000,3804.40000000,0.85100000,535.40000000,115.43000000,1.10410000,1.47200000,2.91180000,1.44700000,0.69730000
2022-05-07,50231.65000000,3731.33000000,0.82180000,517.20000000,111.54000000,1.07600000,1.44300000,2.75900000,1.37070000,0.74870000
2022-05-08,48226.76000000,3568.17000000,0.80290000,504.40000000,107.00000000,1.04800000,1.38600000,2.84650000,1.33070000,0.72920000
2022-05-09,43276.97000000,3204.91000000,0.70110000,425.40000000,89.32000000,0.86540000,1.17000000,2.44460000,1.06260000,0.57460000
2022-05-10,44824.01000000,3384.74000000,0.74150000,461.50000000,96.39000000,0.90860000,1.29000000,2.49380000,1.11430000,0.58520000
2022-05-11,41640.54000000,2977.44000000,0.59650000,388.30000000,72.24000000,0.74110000,0.95600000,1.86130000,0.77210000,0.45040000
2022-05-12,41840.35000000,2823.12000000,0.55630000,387.80000000,64.21000000,0.68240000,0.86500000,1.60570000,0.70870000,0.42320000
2022-05-13,42205.81000000,2899.38000000,0.60960000,419.80000000,70.54000000,0.76600000,0.96000000,1.83930000,1.02490000,0.44350000
2022-05-14,43405.83000000,2965.96000000,0.61600000,428.30000000,75.55000000,0.77900000,0.98900000,2.08180000,1.33380000,0.46350000
2022-05-15,45065.41000000,3086.85000000,0.64400000,449.20000000,84.41000000,0.85920000,1.06900000,2.08720000,1.33680000,0.49060000
2022-05-16,42767.61000000,2895.36000000,0.60620000,424.70000000,76.90000000,0.79580000,0.96600000,1.88880000,1.17570000,0.46030000
2022-05-17,43266.15000000,2971.41000000,0.62250000,434.90000000,81.39000000,0.82190000,1.03100000,1.96760000,1.21760000,0.49500000
2022-05-18,41193.43000000,2746.38000000,0.58110000,412.70000000,71.39000000,0.72530000,0.89700000,1.71440000,1.03490000,0.43340000
2022-05-19,43074.37000000,2870.20000000,0.59730000,436.00000000,74.23000000,0.75690000,0.93500000,1.84980000,1.12080000,0.45160000
